States,immigrants,year
New South Wales,"172,450 ",2019 
New South Wales,"73,840 ",2020 
Victoria,"150,630 ",2019 
Victoria,"25,580 ",2020 
Queensland,"85,580 ",2019 
Queensland,"22,210 ",2020 
South Australia,"27,740 ",2019 
South Australia,"5,750 ",2020 
Western Australia,"50,400 ",2019 
Western Australia,"12,600 ",2020 
Tasmania,"6,510 ",2019 
Tasmania,"1,560 ",2020 
Northern Territory,"4,120 ",2019 
Northern Territory,"1,520 ",2020 
Australian Capital Territory,"9,380 ",2710 
Australian Capital Territory,"2,710 ",2020 
